Model,CV Accuracy,CV Precision,CV Recall,CV F1,CV ROC-AUC,Accuracy,Precision,Recall,F1,ROC-AUC
Logistic Regression,0.892,0.7551,0.5053,0.5981,0.8422,0.8673,0.6818,0.3191,0.4348,0.8349
Gradient Boosting,0.8725,0.7225,0.3421,0.4593,0.8045,0.8537,0.6111,0.234,0.3385,0.7947
Random Forest,0.8674,0.8858,0.2158,0.3347,0.8075,0.8435,0.5455,0.1277,0.2069,0.783
XGBoost,0.8809,0.7877,0.3632,0.4932,0.8158,0.8707,0.7647,0.2766,0.4062,0.7635
Decision Tree,0.7934,0.3652,0.3895,0.374,0.6303,0.7687,0.2857,0.2979,0.2917,0.5781
